trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.9, 'e': 0.6399999999999997}",20,0,-65.47847840899527,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.9, 'e': 0.6349999999999997}",25,0,-89.29043277230448,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",1
74,False,"{'a': 0.9, 'e': 0.6299999999999997}",20,0,-85.38856675966973,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
75,False,"{'a': 0.9, 'e': 0.6249999999999997}",20,0,-42.52161339099829,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.9, 'e': 0.6199999999999997}",20,7,-22.106601847233023,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.6149999999999997}",20,1,-97.59322768163848,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
78,False,"{'a': 0.9, 'e': 0.6099999999999997}",30,0,-42.27281059251658,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.9, 'e': 0.6049999999999996}",25,0,-35.886765212543466,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-53.32781931211168,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
81,False,"{'a': 0.9, 'e': 0.5949999999999996}",30,0,-96.95024278232691,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.9, 'e': 0.5899999999999996}",20,15,5.720022546752173,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.5849999999999996}",30,0,-11.67914223160663,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.5799999999999996}",20,11,0.5866891288701557,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.5749999999999996}",20,0,-103.01012274450454,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
86,False,"{'a': 0.9, 'e': 0.5699999999999996}",20,14,-10.626366675288477,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.9, 'e': 0.5649999999999996}",25,9,-41.29023303767756,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.9, 'e': 0.5599999999999996}",20,3,-25.164693298558397,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.5549999999999996}",20,0,-13.63914350521238,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
90,False,"{'a': 0.9, 'e': 0.5499999999999996}",20,0,-97.3309811276837,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.9, 'e': 0.5449999999999996}",30,0,-21.606939256461033,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
92,False,"{'a': 0.9, 'e': 0.5399999999999996}",30,10,-0.7703195667835967,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.9, 'e': 0.5349999999999996}",25,13,20.19063860336216,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.9, 'e': 0.5299999999999996}",20,5,-47.03857123666001,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.9, 'e': 0.5249999999999996}",30,0,-37.0017044212225,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.5199999999999996}",25,5,-43.12307485487159,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.9, 'e': 0.5149999999999996}",30,13,-26.116073819975686,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
98,False,"{'a': 0.9, 'e': 0.5099999999999996}",30,0,-42.81108019989275,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
99,False,"{'a': 0.9, 'e': 0.5049999999999996}",20,0,-19.095257195320837,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
100,False,"{'a': 0.9, 'e': 0.49999999999999956}",30,4,-159.16450848881098,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 3}",1
101,False,"{'a': 0.9, 'e': 0.49499999999999955}",20,0,-66.37907955819172,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.48999999999999955}",20,0,-35.118431175829826,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.9, 'e': 0.48499999999999954}",20,6,20.862191578321035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.47999999999999954}",20,7,-31.440536685213832,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.9, 'e': 0.47499999999999953}",20,9,-31.758271764485503,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.9, 'e': 0.46999999999999953}",35,0,-62.14715763769099,"{0: 29, 1: 0, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.9, 'e': 0.4649999999999995}",20,0,-16.42397495706826,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
108,False,"{'a': 0.9, 'e': 0.4599999999999995}",20,5,-61.027761403578396,"{0: 10, 1: 0, 2: 2, 3: 3, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.4549999999999995}",30,14,-59.1262076832091,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
110,False,"{'a': 0.9, 'e': 0.4499999999999995}",30,18,-10.802576583930449,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.9, 'e': 0.4449999999999995}",25,15,-25.222137304097867,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
112,False,"{'a': 0.9, 'e': 0.4399999999999995}",30,4,-7.964176917514459,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
113,False,"{'a': 0.9, 'e': 0.4349999999999995}",25,0,-59.58972666100888,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.9, 'e': 0.4299999999999995}",25,0,5.56821802170274,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.9, 'e': 0.4249999999999995}",20,8,7.655152287949825,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.4199999999999995}",25,8,-42.3727434949836,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.9, 'e': 0.4149999999999995}",20,0,-45.60068365084487,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.9, 'e': 0.4099999999999995}",20,5,-40.71107821703409,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
119,False,"{'a': 0.9, 'e': 0.40499999999999947}",20,1,-70.26503603949267,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
120,False,"{'a': 0.9, 'e': 0.39999999999999947}",25,2,-57.64472717763625,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
121,False,"{'a': 0.9, 'e': 0.39499999999999946}",30,0,24.369921720683646,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.9, 'e': 0.38999999999999946}",20,0,-14.87656621068568,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.9, 'e': 0.38499999999999945}",30,18,6.681529079594504,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.37999999999999945}",20,0,8.993911280310632,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.9, 'e': 0.37499999999999944}",20,12,-70.56747954890115,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
126,False,"{'a': 0.9, 'e': 0.36999999999999944}",20,0,-74.80986177555668,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.36499999999999944}",30,8,7.6738783127791494,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.35999999999999943}",20,6,22.626059560500916,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.9, 'e': 0.3549999999999994}",20,15,9.063570695731832,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.3499999999999994}",25,7,-5.127080158329162,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.9, 'e': 0.3449999999999994}",25,0,16.893120325681366,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
132,False,"{'a': 0.9, 'e': 0.3399999999999994}",30,14,1.956690865117642,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.3349999999999994}",25,14,14.728772073058376,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.3299999999999994}",20,0,-49.32445744380139,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
135,False,"{'a': 0.9, 'e': 0.3249999999999994}",20,13,-7.638568613610733,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.3199999999999994}",20,2,-16.717993116557924,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
